Water Consumption Department Wise  from April'23- March  '24 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NORM,27400,1950,,,3000,1800,,900,10000,1450,6000,325,700,,1200,40
,,,,,,,,,,,,,,,,
Month,Intake well,DM Water,PM 1-3,PM 4,PM 1-4,PM 5,WPPS,Bagasse,RDH,SRP,Domestic,Ponni,Cooling tower,PCC plant,Others,Sp. Water 
Apr-23,28431,1876,1785,1021,2806,1532,12,972,10256,1743,6484,386,985,222,1156,44
May-23,27800,1888,1888,887,2775,1457,170,754,10397,1759,6077,306,862,262,1094,47
Jun-23,28542,1921,1748,859,2607,1502,50,1380,10310,1555,6312,329,903,295,1380,45
Jul-23,27597,1911,1512,807,2319,2112,19,1623,9242,1828,6265,419,636,287,935,46
Aug-23,28648,1962,1649,840,2489,2239,53,1478,9920,2121,6268,442,816,280,581,44
Sep-23,27561,1857,1590,966,2556,1789,65,1084,10582,1779,6005,368,794,276,406,43
Oct-23,27503,1805,1539,928,2467,2024,175,960,10415,1840,6013,364,719,255,466,44
Nov-23,29072,1972,1508,937,2445,2091,65,1508,10447,2058,6093,338,951,245,860,44
Dec-23,27963,1942,1423,1012,2435,1991,39,1573,9871,2073,5816,303,650,284,986,44
Jan-24,28071,1871,1812,1082,2894,1828,109,1288,9692,2275,5959,270,807,291,787,42
Feb-24,27394,1834,1587,991,2578,1751,52,959,10129,2175,5811,244,706,264,891,41
Mar-24,27480,1898,1589,1022,2611,1760,153,1228,9583,1887,6057,310,961,239,793,40
AVERAGE,28005,1895,1636,946,2582,1840,80,1234,10070,1924,6097,340,816,267,861,43.67
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Water Consumption Department Wise  from April'24- March  '25 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NORM,27400,1950,700,,3000,1800,75,900,10000,1450,212,325,6000,1200,40,
,,,,,,,,,,,,,,,,
Month,Intake well,DM Water,Cooling tower,,PM 1-4,PM 5,WPPS,Bagasse,RDH,SRP,PCC plant,Ponni,Domestic ,Others,Sp. Water ,
Apr-24,27574,2075,670,,2548,1677,70,1212,9825,2059,246,362,5959,870,42.0,
May-24,26450,1961,587,,2289,1611,28,1002,9737,2229,252,254,5951,550,44.0,
Jun-24,26794,1890,990,,2429,1605,89,1417,9758,1943,266,194,5926,289,40.0,
Jul-24,27585,1675,1034,,2513,1706,382,793,9901,1946,244,411,6273,737,41.0,
Aug-24,27440,1819,824,,2425,1662,42,1347,10044,1952,273,439,6141,472,41.0,
Sep-24,26529,1836,877,,2366,1718,92,1018,9497,2047,277,407,6033,362,38.0,
Oct-24,25312,1787,795,,2428,1744,338,1389,7750,2000,243,364,6021,452,40.2,
Nov-24,25325,1708,730,,2545,1788,142,953,8725,1751,261,268,6043,413,40.9,
Dec-24,25589,1659,841,,2331,1647,154,1021,8951,1686,235,301,6187,576,42.5,
Jan-25,26655,1770,927,,2364,1812,183,887,9591,1910,264,319,6118,512,39.1,
Feb-25,26989,1818,1092,,2348,1797,53,1055,9363,2034,237,299,6203,691,39.4,
Mar-25,27572,1876,1012,,2675,1756,221,1105,9706,2079,267,291,6141,568,40.8,
AVERAGE,26651,1823,865,,2438,1710,149,1100,9404,1970,255,326,6083,541,41,
,,,,,,,,,,,,,,,,
Water Consumption Department Wise  from April'25-December'25,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NORM,25154,1629,1000,,2345,1505,61,984,8891,1411,212,325,6000,750,38,
,,,,,,,,,,,,,,,,
Month,Intake well,DM Water,Cooling tower,,PM 1-4,PM 5,WPPS,Bagasse,RDH,SRP,PCC plant,Ponni,Domestic ,Others,Sp. Water ,
Apr-25,27198,1924,823,,2312,1819,368,1107,9560,2108,281,213,6067,625,40.2,
May-25,26736,1895,916,,2565,1812,439,923,9173,2104,275,183,5999,462,40.0,
Jun-25,27910,1926,900,,2667,1800,215,872,10189,2164,244,274,6110,523,44.8,
Jul-25,28271,1919,703,,2708,1925,52,1169,9268,3178,274,376,6112,586,41.6,
Aug-25,27396,1887,828,,2625,1758,183,1451,9094,2783,243,295,5900,350,40.0,
Sep-25,28049,1968,778,,2882,1751,170,1806,9215,2986,235,256,5687,318,42.0,
Oct-25,29959,2035,782,,2744,1855,180,2308,10039,3229,241,193,5948,406,44.5,
Nov-25,29287,2017,680,,2834,1907,326,1801,10335,2425,250,395,5955,362,43.5,
Dec-25,28838,2058,727,,2800,2097,338,1727,9849,2957,292,306,5397,288,44.6,
Jan-26,,,,,,,,,,,,,,,,
Feb-26,,,,,,,,,,,,,,,,
Mar-26,,,,,,,,,,,,,,,,
AVERAGE,28183,1959,793,,2682,1858,252,1463,9636,2659,260,277,5908,436,42.4,
